id_mbes;X;Y;Z;id_moules;Nbrs_moules;Classe;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;GMM_Classe;New_Classe
72108;136951.953;5126110.500;6.006;194;2;Inexistant;15.140939;4.846398e-02;0.652783;0.999229;0.542967;0.456261;4.994000e-04;7.713282e-04;1.949630e-04;1.042000e-09;1.545000e-09;88.227638;47.972763;0.340000;-0.229000;0.111000;1;Rare
72148;136955.172;5126110.500;5.984;194;2;Inexistant;10.419785;5.051709e-02;0.668870;0.999115;0.614762;0.384353;5.472070e-04;8.845771e-04;1.533344e-03;1.064000e-09;1.531000e-09;58.011913;35.714832;0.467000;-0.265000;0.202000;1;Rare
72225;136952.453;5126113.000;6.051;194;2;Inexistant;13.795595;3.427771e-02;0.679731;0.999717;0.705787;0.293929;1.660832e-04;2.833967e-04;2.055174e-04;2.300000e-11;5.400000e-11;72.763542;51.376198;0.246000;-0.143000;0.103000;1;Rare
94242;137574.922;5126204.000;7.808;633;3;Inexistant;11.175523;6.576228e-02;0.690461;0.997966;0.740765;0.257201;1.165647e-03;2.033859e-03;2.577084e-03;-1.860000e-09;9.900000e-11;57.644321;42.818142;0.582000;-0.580000;0.002000;1;Rare
94334;137571.766;5126205.000;7.814;633;3;Inexistant;10.379667;4.556319e-02;0.662308;0.999355;0.586858;0.412497;4.060825e-04;6.449189e-04;2.786231e-05;1.860000e-09;-1.190000e-10;58.821365;34.557705;0.245000;-0.130000;0.115000;1;Rare
94403;137573.797;5126206.000;7.830;633;3;Inexistant;9.917444;6.438080e-02;0.679918;0.998145;0.657735;0.340409;1.116779e-03;1.855468e-03;2.825762e-03;-7.930000e-10;-1.688000e-09;53.722466;35.434849;0.597000;-0.573000;0.024000;1;Rare
94500;137575.828;5126206.500;7.823;633;3;Inexistant;10.506082;5.678507e-02;0.679585;0.998723;0.671292;0.327431;7.627750e-04;1.276767e-03;1.187316e-03;1.864000e-09;-4.300000e-11;56.489532;37.993080;0.440000;-0.318000;0.122000;1;Rare
139698;138580.219;5126399.000;5.100;135;1;Inexistant;9.421176;2.145000e-02;0.645320;0.999933;0.528734;0.471200;4.362443e-05;6.669595e-05;2.824050e-04;6.470000e-10;1.751000e-09;55.459747;29.327133;0.187000;-0.116000;0.071000;1;Rare
709739;138046.312;5126524.500;9.893;431;7;Rare;16.893618;2.785054e-02;0.557551;0.999845;0.323828;0.676017;1.169083e-04;1.548026e-04;5.994967e-05;-4.900000e-11;3.100000e-11;114.823837;37.200943;0.177000;-0.090000;0.087000;4;Commun
709810;138043.922;5126524.500;9.831;431;7;Rare;15.900874;3.138466e-02;0.608725;0.999789;0.420061;0.579729;1.484205e-04;2.108287e-04;8.657586e-04;1.059000e-09;3.570000e-09;100.745972;42.340652;0.318001;-0.246000;0.072001;4;Commun
709868;138045.594;5126526.500;9.707;431;7;Rare;13.567337;4.367728e-02;0.682014;0.999412;0.713472;0.285940;3.430694e-04;5.882435e-04;1.153813e-03;-2.208000e-09;-2.996000e-09;71.213440;50.850697;0.427000;-0.202000;0.225000;1;Commun
709869;138047.984;5126526.000;9.787;431;7;Rare;17.961189;3.787489e-02;0.647695;0.999633;0.531179;0.468454;2.398732e-04;3.674650e-04;1.739549e-04;2.300000e-11;1.140000e-10;105.522064;56.089859;0.309999;-0.131000;0.179000;1;Commun
709934;138043.203;5126527.000;9.693;431;7;Rare;19.010233;3.979362e-02;0.688078;0.999543;0.784613;0.214930;2.558967e-04;4.569105e-04;6.235880e-05;-6.580000e-10;-1.743000e-09;95.821609;75.226715;0.252000;-0.096999;0.155001;4;Commun
710002;138044.859;5126528.500;9.608;431;7;Rare;12.268080;4.727404e-02;0.634276;0.999285;0.480269;0.519017;4.822336e-04;7.145244e-04;3.217649e-03;-2.866000e-09;-2.371000e-09;74.517708;35.841763;0.542001;-0.368000;0.174001;1;Commun
2278003;136675.000;5127228.000;13.495;339;0;Inexistant;1.735650;4.709683e-02;0.669974;0.999282;0.625053;0.374229;4.416335e-04;7.183121e-04;1.036749e-03;-1.862000e-09;-4.000000e-12;9.604032;6.009923;0.152000;-0.035000;0.117001;0;Inexistant
2278004;136676.000;5127228.000;13.472;339;0;Inexistant;1.735552;4.325824e-02;0.669171;0.999444;0.624710;0.374733;3.422062e-04;5.563667e-04;9.865402e-04;-1.862000e-09;-5.000000e-12;9.607423;6.007202;0.154000;-0.075000;0.079000;0;Inexistant
2278005;136677.000;5127228.000;13.438;339;0;Inexistant;1.734463;3.328642e-02;0.667824;0.999747;0.625464;0.374283;1.558291e-04;2.533734e-04;6.280006e-04;-1.160000e-10;-0.000000e+00;9.600523;6.007213;0.093000;-0.031000;0.062000;0;Inexistant
2278514;136674.000;5127229.000;13.595;339;0;Inexistant;1.734715;4.450443e-02;0.669463;0.999394;0.625059;0.374335;3.726094e-04;6.059638e-04;5.472123e-04;1.160000e-10;-0.000000e+00;9.600146;6.006474;0.121000;-0.044000;0.077001;0;Inexistant
2278515;136675.000;5127229.000;13.598;339;0;Inexistant;1.734381;4.390739e-02;0.669230;0.999418;0.624377;0.375041;3.578963e-04;5.817749e-04;2.387717e-04;1.160000e-10;-0.000000e+00;9.602610;6.001233;0.085000;-0.010000;0.075000;0;Inexistant
2278516;136676.000;5127229.000;13.573;339;0;Inexistant;1.734288;3.430856e-02;0.667921;0.999723;0.625313;0.374409;1.706428e-04;2.774427e-04;4.887404e-04;-1.863000e-09;1.000000e-12;9.600157;6.005768;0.103000;-0.072000;0.031000;0;Inexistant
2278517;136677.000;5127229.000;13.557;339;0;Inexistant;1.733634;2.103111e-02;0.666719;0.999936;0.625099;0.374837;3.930262e-05;6.387568e-05;1.641089e-04;-1.863000e-09;-0.000000e+00;9.600322;6.001768;0.057000;-0.010000;0.047000;0;Inexistant
2278518;136678.000;5127229.000;13.558;339;0;Inexistant;1.733475;2.495718e-02;0.666936;0.999893;0.624911;0.374982;6.568516e-05;1.067466e-04;1.955103e-05;-1.160000e-10;-0.000000e+00;9.600049;6.000204;0.047000;-0.017000;0.030000;0;Inexistant
2279026;136674.000;5127230.000;13.691;339;0;Inexistant;1.734015;3.909317e-02;0.668430;0.999590;0.624451;0.375139;2.525638e-04;4.104849e-04;1.148881e-04;1.862000e-09;-0.000000e+00;9.602167;6.000024;0.077001;-0.072001;0.005000;0;Inexistant
2279027;136675.000;5127230.000;13.668;339;0;Inexistant;1.734233;3.973011e-02;0.668569;0.999569;0.624678;0.374891;2.650934e-04;4.309198e-04;2.741050e-04;-1.862000e-09;1.000000e-12;9.601795;6.002166;0.084001;-0.077001;0.007000;0;Inexistant
2279028;136676.000;5127230.000;13.644;339;0;Inexistant;1.734000;3.428124e-02;0.667870;0.999723;0.625043;0.374680;1.702523e-04;2.767615e-04;2.735687e-04;1.863000e-09;-0.000000e+00;9.600172;6.003175;0.093000;-0.074000;0.019000;0;Inexistant
2279029;136677.000;5127230.000;13.620;339;0;Inexistant;1.733470;1.588184e-02;0.666483;0.999973;0.625044;0.374929;1.692515e-05;2.750504e-05;7.533200e-05;1.863000e-09;0.000000e+00;9.600177;6.000793;0.033000;-0.023001;0.009999;0;Inexistant
2279030;136678.000;5127230.000;13.634;339;0;Inexistant;1.733395;1.634959e-02;0.666486;0.999970;0.624970;0.375000;1.846560e-05;3.000716e-05;1.718892e-05;-1.160000e-10;-0.000000e+00;9.600163;6.000104;0.021000;-0.014000;0.007000;0;Inexistant
2279031;136679.000;5127230.000;13.624;339;0;Inexistant;1.733375;1.499079e-02;0.666440;0.999977;0.624967;0.375010;1.423357e-05;2.312974e-05;7.877651e-06;1.863000e-09;0.000000e+00;9.600149;6.000001;0.020000;-0.020000;0.000000;0;Inexistant
2279538;136674.000;5127231.000;13.716;339;0;Inexistant;1.733500;2.120603e-02;0.666710;0.999934;0.624994;0.374941;4.029307e-05;6.548125e-05;6.655898e-05;-1.863000e-09;-0.000000e+00;9.600185;6.000683;0.045000;-0.028000;0.017000;0;Inexistant
2279539;136675.000;5127231.000;13.698;339;0;Inexistant;1.733453;2.009221e-02;0.666637;0.999944;0.624915;0.375030;3.427238e-05;5.569352e-05;2.915744e-05;-1.863000e-09;-0.000000e+00;9.600508;6.000033;0.036000;-0.017000;0.019000;0;Inexistant
2279540;136676.000;5127231.000;13.659;339;0;Inexistant;1.733907;3.536991e-02;0.667921;0.999696;0.624552;0.375145;1.870312e-04;3.039555e-04;1.170122e-04;1.862000e-09;0.000000e+00;9.602233;6.000008;0.083000;-0.059999;0.023001;0;Inexistant
2279541;136677.000;5127231.000;13.642;339;0;Inexistant;1.734128;2.999453e-02;0.667431;0.999815;0.625261;0.374553;1.140198e-04;1.853543e-04;4.265221e-04;-1.160000e-10;-0.000000e+00;9.600664;6.004704;0.085999;-0.075000;0.011000;0;Inexistant
2279542;136678.000;5127231.000;13.635;339;0;Inexistant;1.734133;3.311999e-02;0.667731;0.999750;0.625048;0.374703;1.535264e-04;2.495644e-04;3.625421e-04;-1.160000e-10;-0.000000e+00;9.601198;6.003602;0.092999;-0.080000;0.013000;0;Inexistant
2279543;136679.000;5127231.000;13.635;339;0;Inexistant;1.733570;2.378955e-02;0.666871;0.999908;0.625008;0.374900;5.688776e-05;9.245356e-05;9.784313e-05;1.160000e-10;0.000000e+00;9.600172;6.001067;0.056000;-0.036000;0.020000;0;Inexistant
2280050;136674.000;5127232.000;13.711;339;0;Inexistant;1.733469;2.302486e-02;0.666812;0.999916;0.624957;0.374960;5.157699e-05;8.381902e-05;3.432970e-05;1.863000e-09;0.000000e+00;9.600019;6.000400;0.040000;-0.033999;0.006001;0;Inexistant
2280051;136675.000;5127232.000;13.715;339;0;Inexistant;1.733423;2.020905e-02;0.666645;0.999943;0.624927;0.375016;3.487362e-05;5.667104e-05;1.406489e-05;-1.863000e-09;-0.000000e+00;9.600261;6.000006;0.032000;-0.021000;0.011000;0;Inexistant
2280052;136676.000;5127232.000;13.715;339;0;Inexistant;1.733724;3.497010e-02;0.667890;0.999706;0.624671;0.375035;1.807506e-04;2.937666e-04;3.804325e-05;1.863000e-09;0.000000e+00;9.600634;6.000060;0.075000;-0.028000;0.047000;0;Inexistant
2280053;136677.000;5127232.000;13.675;339;0;Inexistant;1.733882;3.726816e-02;0.668182;0.999644;0.624567;0.375077;2.187978e-04;3.556074e-04;8.344326e-05;-1.863000e-09;-0.000000e+00;9.601393;6.000131;0.080000;0.000000;0.080000;0;Inexistant
2280054;136678.000;5127232.000;13.667;339;0;Inexistant;1.734023;3.499617e-02;0.667899;0.999706;0.624704;0.375002;1.811532e-04;2.944270e-04;2.164311e-04;-1.862000e-09;-1.000000e-12;9.602090;6.001290;0.080000;-0.037000;0.043000;0;Inexistant
2280055;136679.000;5127232.000;13.669;339;0;Inexistant;1.733646;2.331159e-02;0.666849;0.999913;0.625060;0.374853;5.352603e-05;8.699236e-05;1.542525e-04;-1.160000e-10;-0.000000e+00;9.600348;6.001634;0.044000;-0.042000;0.002000;0;Inexistant
2280563;136675.000;5127233.000;13.730;339;0;Inexistant;1.733395;1.735540e-02;0.666526;0.999964;0.624981;0.374983;2.208751e-05;3.589337e-05;1.673137e-05;-1.160000e-10;-0.000000e+00;9.600031;6.000182;0.022000;-0.011001;0.011000;0;Inexistant
2280564;136676.000;5127233.000;13.725;339;0;Inexistant;1.733500;2.709328e-02;0.667095;0.999863;0.624865;0.374999;8.403968e-05;1.365761e-04;1.228121e-05;-1.160000e-10;0.000000e+00;9.600106;6.000081;0.049000;-0.037000;0.012000;0;Inexistant
2280565;136677.000;5127233.000;13.695;339;0;Inexistant;1.733468;2.445119e-02;0.666902;0.999900;0.624924;0.374975;6.176982e-05;1.003837e-04;2.046279e-05;1.160000e-10;-0.000000e+00;9.600008;6.000241;0.038000;-0.038000;0.000000;0;Inexistant
2280566;136678.000;5127233.000;13.701;339;0;Inexistant;1.733694;3.287252e-02;0.667640;0.999756;0.624700;0.375056;1.501292e-04;2.439882e-04;4.752984e-05;1.160000e-10;0.000000e+00;9.600885;6.000017;0.078000;-0.036000;0.042000;0;Inexistant
2494952;137215.000;5127213.000;11.872;242;10;Commun;1.735964;5.243669e-02;0.671002;0.999008;0.624042;0.374967;6.098978e-04;9.917092e-04;9.132492e-04;-1.862000e-09;-5.000000e-12;9.608506;6.005638;0.174000;-0.121000;0.052999;0;Abondant
2494953;137216.000;5127213.000;12.116;242;10;Commun;1.734770;4.458485e-02;0.669373;0.999391;0.624467;0.374924;3.747158e-04;6.091699e-04;4.682844e-04;-1.862000e-09;-2.000000e-12;9.603910;6.003174;0.102000;-0.066000;0.036000;0;Abondant
2494954;137217.000;5127213.000;12.204;242;10;Commun;1.735434;3.871521e-02;0.668648;0.999601;0.626009;0.373592;2.451656e-04;3.988371e-04;1.225007e-03;1.863000e-09;2.000000e-12;9.600956;6.014119;0.157001;-0.102000;0.055000;0;Abondant
2495463;137214.000;5127214.000;12.050;242;10;Commun;1.734407;5.017845e-02;0.670469;0.999131;0.624053;0.375079;5.343864e-04;8.688001e-04;7.003833e-05;-1.160000e-10;-0.000000e+00;9.601275;6.000043;0.121000;0.000000;0.121000;0;Abondant
2495464;137215.000;5127214.000;11.910;242;10;Commun;1.735125;5.195423e-02;0.670807;0.999036;0.623601;0.375435;5.933005e-04;9.644275e-04;3.593974e-04;1.160000e-10;0.000000e+00;9.606791;6.000067;0.138000;-0.084000;0.054000;0;Abondant
2495465;137216.000;5127214.000;12.168;242;10;Commun;1.736766;4.885556e-02;0.669933;0.999198;0.622702;0.376496;4.934444e-04;8.015041e-04;1.207820e-03;1.160000e-10;-0.000000e+00;9.623127;6.000054;0.203000;-0.072000;0.131001;0;Abondant
2495466;137217.000;5127214.000;12.136;242;10;Commun;1.735857;3.787115e-02;0.668628;0.999627;0.626606;0.373021;2.294223e-04;3.733510e-04;1.588972e-03;1.863000e-09;-1.000000e-12;9.600080;6.019052;0.157001;-0.098001;0.059000;0;Abondant
2495467;137218.000;5127214.000;12.162;242;10;Commun;1.734651;1.987432e-02;0.666821;0.999946;0.626013;0.373933;3.315595e-05;5.391558e-05;9.229642e-04;1.863000e-09;-2.000000e-12;9.600676;6.010667;0.108000;-0.057000;0.051000;0;Abondant
2495975;137214.000;5127215.000;12.176;242;10;Commun;1.735658;4.987513e-02;0.670308;0.999147;0.623532;0.375615;5.248480e-04;8.530031e-04;7.022531e-04;1.862000e-09;-2.000000e-12;9.611467;6.001259;0.162000;-0.058000;0.104000;0;Abondant
2495976;137215.000;5127215.000;11.787;242;10;Commun;1.736630;5.575272e-02;0.671821;0.998808;0.623841;0.374967;7.332578e-04;1.192443e-03;1.174132e-03;1.862000e-09;-6.000000e-12;9.611011;6.007203;0.201000;-0.113000;0.088000;0;Abondant
2495977;137216.000;5127215.000;12.189;242;10;Commun;1.736094;4.413879e-02;0.669360;0.999409;0.624865;0.374544;3.635218e-04;5.911037e-04;1.312220e-03;1.862000e-09;-6.000000e-12;9.609096;6.010070;0.160001;-0.063001;0.097000;0;Abondant
2495978;137217.000;5127215.000;12.085;242;10;Commun;1.736181;4.656689e-02;0.669949;0.999306;0.625525;0.373780;4.268097e-04;6.943828e-04;1.439705e-03;-1.862000e-09;5.000000e-12;9.604459;6.014503;0.177000;-0.131001;0.046000;0;Abondant
2495979;137218.000;5127215.000;11.963;242;10;Commun;1.734461;2.595917e-02;0.667134;0.999880;0.625598;0.374282;7.390068e-05;1.201505e-04;7.088455e-04;1.863000e-09;-2.000000e-12;9.601295;6.007703;0.108000;-0.057000;0.051000;0;Abondant
2496486;137213.000;5127216.000;12.157;242;10;Commun;1.734218;4.165265e-02;0.668822;0.999503;0.624330;0.375173;3.055256e-04;4.965779e-04;1.728398e-04;-1.862000e-09;1.000000e-12;9.602991;6.000204;0.084001;-0.076000;0.008000;0;Abondant
2496487;137214.000;5127216.000;12.104;242;10;Commun;1.734648;4.338457e-02;0.669126;0.999439;0.624330;0.375109;3.452628e-04;5.612084e-04;3.931547e-04;-1.862000e-09;2.000000e-12;9.604608;6.001837;0.112000;-0.084001;0.028000;0;Abondant
2496488;137215.000;5127216.000;12.083;242;10;Commun;1.734817;4.219704e-02;0.668997;0.999484;0.624791;0.374692;3.176137e-04;5.163840e-04;5.946840e-04;1.160000e-10;-0.000000e+00;9.603344;6.005045;0.143001;-0.104000;0.039001;0;Abondant
2496489;137216.000;5127216.000;11.976;242;10;Commun;1.735058;4.094607e-02;0.668639;0.999528;0.623967;0.375561;2.902723e-04;4.716667e-04;6.008704e-04;-1.160000e-10;0.000000e+00;9.610083;6.000911;0.136000;-0.088000;0.047999;0;Abondant
2496490;137217.000;5127216.000;12.150;242;10;Commun;1.735014;4.287358e-02;0.668944;0.999458;0.623819;0.375639;3.332637e-04;5.415210e-04;5.179513e-04;-1.160000e-10;-0.000000e+00;9.609887;6.000037;0.143000;-0.097000;0.046000;0;Abondant
2496491;137218.000;5127216.000;12.313;242;10;Commun;1.734319;3.873327e-02;0.668464;0.999601;0.624951;0.374650;2.456046e-04;3.992915e-04;3.877408e-04;1.863000e-09;1.000000e-12;9.601035;6.004005;0.091000;-0.061999;0.029000;0;Abondant
2496999;137214.000;5127217.000;12.123;242;10;Commun;1.733801;3.018915e-02;0.667383;0.999811;0.624879;0.374932;1.162705e-04;1.889694e-04;1.658465e-04;-1.160000e-10;-0.000000e+00;9.601071;6.001320;0.067000;-0.039001;0.028000;0;Abondant
2497000;137215.000;5127217.000;12.267;242;10;Commun;1.734233;3.130962e-02;0.667521;0.999789;0.625003;0.374786;1.296996e-04;2.108170e-04;4.287762e-04;-1.160000e-10;-0.000000e+00;9.602473;6.003600;0.098001;-0.067000;0.031000;0;Abondant
2497001;137216.000;5127217.000;12.254;242;10;Commun;1.734767;2.818100e-02;0.667317;0.999846;0.625581;0.374266;9.454981e-05;1.537274e-04;8.675538e-04;1.160000e-10;0.000000e+00;9.602694;6.008736;0.129001;-0.065001;0.064000;0;Abondant
2497002;137217.000;5127217.000;12.246;242;10;Commun;1.734838;3.463230e-02;0.667790;0.999715;0.624346;0.375369;1.755829e-04;2.853076e-04;6.242609e-04;1.862000e-09;3.000000e-12;9.608829;6.001976;0.120999;-0.059000;0.061999;0;Abondant
2497003;137218.000;5127217.000;12.149;242;10;Commun;1.735196;2.007779e-02;0.666797;0.999944;0.625821;0.374123;3.418721e-05;5.558609e-05;1.200805e-03;1.160000e-10;0.000000e+00;9.604804;6.011426;0.143000;-0.059999;0.083000;0;Abondant
2497512;137215.000;5127218.000;12.277;242;10;Commun;1.734568;3.651283e-02;0.668039;0.999666;0.624355;0.375310;2.057745e-04;3.343885e-04;4.487608e-04;-1.862000e-09;-2.000000e-12;9.606693;6.001203;0.119000;-0.052000;0.067000;0;Abondant
2497513;137216.000;5127218.000;12.316;242;10;Commun;1.734249;2.666201e-02;0.667178;0.999870;0.625532;0.374338;8.006983e-05;1.301769e-04;5.698197e-04;1.160000e-10;0.000000e+00;9.600386;6.006601;0.084001;-0.025001;0.059000;0;Abondant
2497514;137217.000;5127218.000;12.295;242;10;Commun;1.734440;2.174779e-02;0.666801;0.999929;0.625332;0.374598;4.345557e-05;7.063586e-05;6.690335e-04;1.160000e-10;0.000000e+00;9.603335;6.005949;0.092000;-0.032001;0.059999;0;Abondant
3929018;141561.000;5128208.000;10.558;322;0;Inexistant;1.741892;4.996571e-02;0.671630;0.999141;0.631012;0.368129;5.262797e-04;8.592728e-04;5.638267e-03;-1.862000e-09;7.000000e-12;9.601725;6.067053;0.264999;-0.111000;0.153999;0;Inexistant
3929019;141562.000;5128208.000;10.466;322;0;Inexistant;1.737796;4.758350e-02;0.669902;0.999259;0.624066;0.375194;4.556410e-04;7.406658e-04;2.079770e-03;-1.160000e-10;1.000000e-12;9.621480;6.011561;0.219000;-0.061000;0.158000;0;Inexistant
3929020;141563.000;5128208.000;10.355;322;0;Inexistant;1.735146;4.358976e-02;0.669062;0.999431;0.623756;0.375674;3.502618e-04;5.691386e-04;5.701610e-04;-1.862000e-09;1.000000e-12;9.610660;6.000181;0.144000;-0.050000;0.094000;0;Inexistant
3929021;141564.000;5128208.000;10.327;322;0;Inexistant;1.736367;3.846048e-02;0.668473;0.999609;0.625235;0.374374;2.404250e-04;3.909350e-04;1.623217e-03;1.160000e-10;-0.000000e+00;9.610789;6.012758;0.191999;-0.059999;0.132000;0;Inexistant
3929344;141560.000;5128209.000;10.673;322;0;Inexistant;1.733925;3.814936e-02;0.668310;0.999619;0.624570;0.375048;2.346930e-04;3.814544e-04;9.751923e-05;-1.160000e-10;-0.000000e+00;9.601307;6.000353;0.067000;-0.040000;0.027000;0;Inexistant
3929345;141561.000;5128209.000;10.614;322;0;Inexistant;1.733979;3.821089e-02;0.668336;0.999617;0.624668;0.374949;2.358222e-04;3.833136e-04;1.458281e-04;-1.863000e-09;-1.000000e-12;9.601006;6.001121;0.078000;-0.057000;0.021000;0;Inexistant
3929346;141562.000;5128209.000;10.574;322;0;Inexistant;1.734622;3.411558e-02;0.667959;0.999727;0.625662;0.374065;1.677572e-04;2.728080e-04;7.473730e-04;1.863000e-09;0.000000e+00;9.600000;6.008975;0.110000;-0.051000;0.059000;0;Inexistant
3929347;141563.000;5128209.000;10.514;322;0;Inexistant;1.734149;4.027476e-02;0.668617;0.999551;0.624456;0.375095;2.761727e-04;4.488782e-04;1.764774e-04;-1.862000e-09;1.000000e-12;9.602427;6.000600;0.084000;-0.005000;0.079000;0;Inexistant
3929348;141564.000;5128209.000;10.454;322;0;Inexistant;1.735040;5.130216e-02;0.670727;0.999071;0.624032;0.375040;5.711317e-04;9.285968e-04;4.059168e-04;-1.862000e-09;2.000000e-12;9.604198;6.002244;0.132999;-0.049000;0.084000;0;Inexistant
3929349;141565.000;5128209.000;10.404;322;0;Inexistant;1.739210;5.540667e-02;0.672278;0.998829;0.626981;0.371847;7.188460e-04;1.171233e-03;3.243861e-03;-1.862000e-09;1.000000e-11;9.606988;6.034654;0.257999;-0.141000;0.117000;0;Inexistant
3929671;141560.000;5128210.000;10.910;322;0;Inexistant;1.734239;3.695382e-02;0.668133;0.999653;0.624543;0.375110;2.133083e-04;3.466765e-04;2.885623e-04;1.862000e-09;1.000000e-12;9.603614;6.001204;0.109000;-0.041000;0.068000;0;Inexistant
3929672;141561.000;5128210.000;10.622;322;0;Inexistant;1.738983;5.536825e-02;0.671661;0.998832;0.623518;0.375314;7.182632e-04;1.167791e-03;2.477968e-03;1.160000e-10;1.000000e-12;9.626232;6.013371;0.254000;-0.063000;0.191000;0;Inexistant
3929673;141562.000;5128210.000;10.617;322;0;Inexistant;1.740730;5.032741e-02;0.671278;0.999122;0.628488;0.370635;5.382891e-04;8.775420e-04;4.512880e-03;1.862000e-09;1.400000e-11;9.609960;6.048175;0.252000;-0.130000;0.122000;0;Inexistant
3929674;141563.000;5128210.000;10.585;322;0;Inexistant;1.738575;4.858574e-02;0.670629;0.999211;0.626989;0.372222;4.845423e-04;7.891095e-04;3.043296e-03;1.862000e-09;1.000000e-11;9.607943;6.031653;0.221000;-0.151999;0.069000;0;Inexistant
3929675;141564.000;5128210.000;10.576;322;0;Inexistant;1.736540;3.274183e-02;0.667951;0.999759;0.626541;0.373218;1.482449e-04;2.411980e-04;2.026100e-03;1.862000e-09;7.000000e-12;9.605797;6.020742;0.174999;-0.136000;0.039000;0;Inexistant
3929676;141565.000;5128210.000;10.514;322;0;Inexistant;1.734521;3.548823e-02;0.668018;0.999693;0.625014;0.374679;1.888828e-04;3.070531e-04;5.552931e-04;-1.160000e-10;-0.000000e+00;9.602868;6.004872;0.118000;-0.087999;0.030001;0;Inexistant
3930003;141560.000;5128211.000;10.843;322;0;Inexistant;1.734746;2.384898e-02;0.666722;0.999907;0.624146;0.375761;5.733351e-05;9.312864e-05;6.163301e-04;-1.862000e-09;-0.000000e+00;9.611775;6.000042;0.106999;-0.044000;0.063000;0;Inexistant
3930004;141561.000;5128211.000;10.825;322;0;Inexistant;1.736726;4.574065e-02;0.669643;0.999342;0.624727;0.374615;4.045977e-04;6.578931e-04;1.621725e-03;1.160000e-10;0.000000e+00;9.612620;6.011588;0.184000;-0.054000;0.130000;0;Inexistant
3930005;141562.000;5128211.000;10.889;322;0;Inexistant;1.741960;3.999966e-02;0.668291;0.999560;0.622875;0.376685;2.707086e-04;4.395642e-04;4.373970e-03;1.160000e-10;1.000000e-12;9.655177;6.018215;0.293000;-0.141001;0.151999;0;Inexistant
3930006;141563.000;5128211.000;10.715;322;0;Inexistant;1.742371;5.888581e-02;0.672673;0.998594;0.623654;0.374941;8.641718e-04;1.405545e-03;4.345433e-03;1.859000e-09;2.200000e-11;9.641365;6.026423;0.288000;-0.152000;0.136000;0;Inexistant
3930007;141564.000;5128211.000;10.678;322;0;Inexistant;1.742371;4.851383e-02;0.670831;0.999214;0.628239;0.370975;4.821733e-04;7.858511e-04;5.445541e-03;-1.160000e-10;-1.000000e-12;9.621573;6.052207;0.271999;-0.184000;0.087999;0;Inexistant
3930008;141565.000;5128211.000;10.624;322;0;Inexistant;1.741718;5.024068e-02;0.671439;0.999127;0.629530;0.369596;5.353072e-04;8.732343e-04;5.268020e-03;-1.160000e-10;-1.000000e-12;9.609322;6.057751;0.289000;-0.240999;0.048000;0;Inexistant
3930335;141560.000;5128212.000;10.914;322;0;Inexistant;1.735726;3.523735e-02;0.668131;0.999699;0.625839;0.373860;1.848479e-04;3.006442e-04;1.403994e-03;1.160000e-10;0.000000e+00;9.604736;6.013908;0.151000;-0.117001;0.033999;0;Inexistant
3930336;141561.000;5128212.000;10.861;322;0;Inexistant;1.737780;3.489208e-02;0.668150;0.999708;0.626194;0.373514;1.794427e-04;2.919135e-04;2.653914e-03;1.160000e-10;1.000000e-12;9.614110;6.023108;0.207999;-0.151000;0.056999;0;Inexistant
3930337;141562.000;5128212.000;10.899;322;0;Inexistant;1.738376;3.639059e-02;0.668020;0.999669;0.624344;0.375325;2.037151e-04;3.310382e-04;2.639023e-03;-1.860000e-09;-1.300000e-11;9.627898;6.014303;0.212000;-0.112000;0.100000;0;Inexistant
3930338;141563.000;5128212.000;10.886;322;0;Inexistant;1.736153;3.118854e-02;0.667674;0.999792;0.625940;0.373851;1.281562e-04;2.084277e-04;1.707962e-03;-1.160000e-10;-0.000000e+00;9.607594;6.015783;0.153000;-0.057000;0.096000;0;Inexistant
3930339;141564.000;5128212.000;10.817;322;0;Inexistant;1.734494;2.722420e-02;0.667241;0.999861;0.625621;0.374241;8.524024e-05;1.385919e-04;7.241048e-04;-1.160000e-10;-0.000000e+00;9.601125;6.007993;0.109000;-0.031000;0.078000;0;Inexistant
3930669;141562.000;5128213.000;10.927;322;0;Inexistant;1.734212;2.292090e-02;0.666921;0.999917;0.625605;0.374312;5.086930e-05;8.270183e-05;5.825380e-04;1.160000e-10;0.000000e+00;9.600311;6.006801;0.077000;-0.035000;0.042000;0;Inexistant
3930670;141563.000;5128213.000;10.922;322;0;Inexistant;1.734125;2.915860e-02;0.667232;0.999830;0.624599;0.375231;1.047743e-04;1.702519e-04;3.093906e-04;-1.862000e-09;-1.000000e-12;9.604746;6.000747;0.078000;-0.057000;0.021000;0;Inexistant
4425301;141340.000;5128547.000;13.816;174;0;Inexistant;1.736663;6.047187e-02;0.673185;0.998477;0.623857;0.374621;9.359216e-04;1.522653e-03;1.054686e-03;-1.160000e-10;0.000000e+00;9.607200;6.008144;0.160001;-0.107000;0.053000;0;Inexistant
4425811;141338.000;5128548.000;13.704;174;0;Inexistant;1.735946;5.447636e-02;0.671365;0.998888;0.623177;0.375711;6.841632e-04;1.112039e-03;6.907917e-04;-1.861000e-09;-2.000000e-12;9.612101;6.000725;0.169000;-0.093000;0.075999;0;Inexistant
